c24,Age,
-33.2762683799373,-107,QPT-18 ST Lower
-33.2021879217448,-106,QPT-18 ST Upper
-32.4945292034506,-105,QPT-18 ST Lower Sum
-32.6125253333107,-104,QPT-18 ST Upper Sum
-31.7136941480983,-103,QPT-18-SS01B 0-0.5cm BD
-32.5422643668643,-102,QPT-18 SS01 0-5cm
-32.8908716106867,-101,QPT-18 SS04 0-5cm
-31.9238883369683,-100,QPT-18 SS05 0-5cm
-33.0039696,-39,
-32.71316004,205,
-31.7877533,448,
-32.29481576,787,
-32.5505625,1213,
-32.5213047,1343,
-32.34660638,1666,
-32.3837669,1927,
-32.63475699,2222,
-32.17292255,2790,
-32.03673933,3411,
-32.44622379,3824,
-32.60229063,4246,
-32.95259435,4674,
-30.92524246,5064,
-32.43458998,5349,
-31.69150638,5671,
-29.04614312,5774,
-30.16152688,5950,
-27.37184477,6112,
-26.96148366,6207,
