c28,Age,
-33.7535249279104,-107,QPT-18 ST Lower
-33.86202546203,-106,QPT-18 ST Upper
-33.8686921585575,-105,QPT-18 ST Lower Sum
-33.5811096148936,-104,QPT-18 ST Upper Sum
-32.3561280247841,-103,QPT-18-SS01B 0-0.5cm BD
-33.3789212567449,-102,QPT-18 SS01 0-5cm
-33.7750600567739,-101,QPT-18 SS04 0-5cm
-32.7238914373823,-100,QPT-18 SS05 0-5cm
-33.73114403,-39,
-33.20768761,205,
-32.18895392,448,
-32.55031013,787,
-33.14241426,1213,
-32.97021448,1343,
-32.74592058,1666,
-32.61861901,1927,
-32.61108109,2222,
-32.18078371,2790,
-32.5790687,3411,
-32.94279619,3824,
-32.62372787,4246,
-31.90008598,4674,
-30.10149399,5064,
-32.23247356,5349,
-31.83165197,5671,
-27.66783529,5774,
-29.8783368,5950,
-27.72352845,6112,
-28.3387537,6207,
