c22,Age,
-32.9086152020817,-107,QPT-18 ST Lower
-33.1233404486494,-106,QPT-18 ST Upper
-32.2801091606638,-105,QPT-18 ST Lower Sum
-32.1265300227671,-104,QPT-18 ST Upper Sum
-31.9583070460296,-103,QPT-18-SS01B 0-0.5cm BD
-33.023345383043,-102,QPT-18 SS01 0-5cm
-32.5305445548127,-101,QPT-18 SS04 0-5cm
-32.6010937229667,-100,QPT-18 SS05 0-5cm
-32.81923176,-39,
-31.81249304,205,
-31.96794886,448,
-31.52147932,787,
-31.73327978,1213,
-33.02882362,1343,
-32.81160852,1666,
-33.28075849,1927,
-32.94417864,2222,
-32.85134115,2790,
-33.27405683,3411,
-33.66066459,3824,
-33.89542983,4246,
-33.39725277,4674,
-32.47524895,5064,
-33.9754323,5349,
-32.46767112,5671,
-30.25014138,5774,
-31.33807836,5950,
-30.01445287,6112,
-29.42028175,6207,
