source_names,Meanc22,SDc22,Meanc24,SDc24,Meanc26,SDc26,Meanc28,SDc28
aqua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nonvas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tvas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
