source_names,Meanc22,SDc22,Concc22,Meanc24,SDc24,Concc24,Meanc26,SDc26,Concc26,Meanc28,SDc28,Concc28,n
aqua,-33.64453279436981,1.3013709703725462,60.45914315038884,-34.3580313585927,1.910202920881326,79.89386838803274,-34.8579134359022,2.6971464247123174,58.93290839127322,-35.25590454512786,1.9473554991063429,62.22298316952752,14
nonvas,-35.95344383929,2.4592346443003406,99.79918349259641,-36.95060603298567,2.0222483107634406,143.99578465108252,-38.6316844085549,2.3268155219405413,63.169795637496826,-37.8246677585008,2.205274042341195,45.82102026060427,13
tvas,-32.60652399840868,1.7762628799916158,84.88612212921613,-32.95356779541258,2.4960637198393227,99.92761644004892,-33.052722756302565,1.7236931079208304,88.23832965383319,-33.16164681489279,1.8553232152674102,78.25788403421555,21
