source_names,Meanc26,SDc26,Concc26,Meanc28,SDc28,Concc28,n
aqua,-34.8579134359022,2.6971464247123174,58.93290839127322,-35.25590454512786,1.9473554991063429,62.22298316952752,14
terr,-34.03724540081768,2.815236481101049,81.3228719941542,-33.9845328637648,2.617820471873458,69.30978368287451,34
